q_HHG     HHG_final_l        HHG_final_s           
 (arb.units)  (arb.units)  (arb.units)  
101     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
0     0.048566565           0.019619077        
