position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s     L_dephasing_l   L_dephasing_s  
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)              (mm)            (mm)           
1.700000000e+00       -1.662161422e+01            -9.322498593e-01                2.263151784e+01                4.288712200e-01                      5.077653761e+00                    -1.712499286e+01                 5.332154894e-01           1.028359693e-01           
1.750000000e+00       -1.709305961e+01            -9.588855696e-01                2.322112899e+01                4.415183253e-01                      5.169183808e+00                    -1.761042685e+01                 5.462687029e-01           1.030006143e-01           
1.800000000e+00       -1.756370806e+01            -9.855212798e-01                2.380776014e+01                4.541888150e-01                      5.258530804e+00                    -1.809504052e+01                 5.596159039e-01           1.031749688e-01           
1.850000000e+00       -1.803351720e+01            -1.012156990e+00                2.439142579e+01                4.668827549e-01                      5.345751601e+00                    -1.857879144e+01                 5.732577789e-01           1.033589772e-01           
1.900000000e+00       -1.850244540e+01            -1.038792700e+00                2.497214038e+01                4.796002052e-01                      5.430902278e+00                    -1.906163789e+01                 5.871943913e-01           1.035525876e-01           
1.950000000e+00       -1.897045170e+01            -1.065428411e+00                2.554991826e+01                4.923412210e-01                      5.514038146e+00                    -1.954353889e+01                 6.014251286e-01           1.037557516e-01           
2.000000000e+00       -1.943749586e+01            -1.092064121e+00                2.612477373e+01                5.051058524e-01                      5.595213744e+00                    -2.002445413e+01                 6.159486485e-01           1.039684243e-01           
2.050000000e+00       -1.990353835e+01            -1.118699831e+00                2.669672103e+01                5.178941453e-01                      5.674482842e+00                    -2.050434404e+01                 6.307628238e-01           1.041905640e-01           
2.100000000e+00       -2.036854033e+01            -1.145335541e+00                2.726577431e+01                5.307061408e-01                      5.751898438e+00                    -2.098316973e+01                 6.458646869e-01           1.044221322e-01           
2.150000000e+00       -2.083246367e+01            -1.171971252e+00                2.783194769e+01                5.435418766e-01                      5.827512762e+00                    -2.146089305e+01                 6.612503745e-01           1.046630933e-01           
2.200000000e+00       -2.129527095e+01            -1.198606962e+00                2.839525519e+01                5.564013864e-01                      5.901377272e+00                    -2.193747653e+01                 6.769150721e-01           1.049134147e-01           
2.250000000e+00       -2.175692544e+01            -1.225242672e+00                2.895571077e+01                5.692847008e-01                      5.973542656e+00                    -2.241288341e+01                 6.928529602e-01           1.051730664e-01           
2.300000000e+00       -2.221739113e+01            -1.251878383e+00                2.951332834e+01                5.821918474e-01                      6.044058832e+00                    -2.288707766e+01                 7.090571616e-01           1.054420210e-01           
2.350000000e+00       -2.267663269e+01            -1.278514093e+00                3.006812174e+01                5.951228510e-01                      6.112974950e+00                    -2.336002394e+01                 7.255196916e-01           1.057202536e-01           
2.400000000e+00       -2.313461553e+01            -1.305149803e+00                3.062010472e+01                6.080777343e-01                      6.180339385e+00                    -2.383168760e+01                 7.422314107e-01           1.060077417e-01           
2.450000000e+00       -2.359130574e+01            -1.331785513e+00                3.116929100e+01                6.210565178e-01                      6.246199747e+00                    -2.430203473e+01                 7.591819817e-01           1.063044648e-01           
2.500000000e+00       -2.404667010e+01            -1.358421224e+00                3.171569420e+01                6.340592205e-01                      6.310602873e+00                    -2.477103211e+01                 7.763598314e-01           1.066104049e-01           
