position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s    I_peak    I_d2_qwf     
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)             (W/cm^2)  (W/cm^2)     
7.300000000e+00       -5.883296205e+01            -3.915449409e+00                6.120792761e+01                1.511664255e+00                      -1.540483850e+00                    -6.123674721e+01                1.038513215e+15     1.033910477e+15        
7.350000000e+00       -5.914149429e+01            -3.942085119e+00                6.151717108e+01                1.523173027e+00                      -1.566408335e+00                    -6.156040639e+01                1.034697401e+15     1.029912204e+15        
7.400000000e+00       -5.944838053e+01            -3.968720830e+00                6.182516663e+01                1.534698282e+00                      -1.591934732e+00                    -6.188240308e+01                1.030898714e+15     1.025929420e+15        
7.450000000e+00       -5.975361962e+01            -3.995356540e+00                6.213191580e+01                1.546240035e+00                      -1.617060356e+00                    -6.220273613e+01                1.027117030e+15     1.021962067e+15        
7.500000000e+00       -6.005721062e+01            -4.021992250e+00                6.243741999e+01                1.557798299e+00                      -1.641782879e+00                    -6.252140457e+01                1.023352227e+15     1.018010089e+15        
7.550000000e+00       -6.035915276e+01            -4.048627960e+00                6.274168039e+01                1.569373087e+00                      -1.666100330e+00                    -6.283840763e+01                1.019604183e+15     1.014073430e+15        
7.600000000e+00       -6.065944547e+01            -4.075263671e+00                6.304469805e+01                1.580964412e+00                      -1.690011089e+00                    -6.315374473e+01                1.015872777e+15     1.010152034e+15        
7.650000000e+00       -6.095808836e+01            -4.101899381e+00                6.334647385e+01                1.592572288e+00                      -1.713513893e+00                    -6.346741545e+01                1.012157887e+15     1.006245845e+15        
7.700000000e+00       -6.125508123e+01            -4.128535091e+00                6.364700849e+01                1.604196727e+00                      -1.736607830e+00                    -6.377941959e+01                1.008459393e+15     1.002354808e+15        
7.750000000e+00       -6.155042407e+01            -4.155170802e+00                6.394630254e+01                1.615837743e+00                      -1.759292335e+00                    -6.408975713e+01                1.004777177e+15     9.984788657e+14        
7.800000000e+00       -6.184411706e+01            -4.181806512e+00                6.424435638e+01                1.627495350e+00                      -1.781567197e+00                    -6.439842823e+01                1.001111118e+15     9.946179641e+14        
7.850000000e+00       -6.213616057e+01            -4.208442222e+00                6.454117024e+01                1.639169559e+00                      -1.803432546e+00                    -6.470543323e+01                9.974610983e+14     9.907720478e+14        
7.900000000e+00       -6.242655514e+01            -4.235077932e+00                6.483674421e+01                1.650860383e+00                      -1.824888860e+00                    -6.501077269e+01                9.938270014e+14     9.869410618e+14        
7.950000000e+00       -6.271530152e+01            -4.261713643e+00                6.513107820e+01                1.662567837e+00                      -1.845936958e+00                    -6.531444733e+01                9.902087102e+14     9.831249513e+14        
8.000000000e+00       -6.300240064e+01            -4.288349353e+00                6.542417199e+01                1.674291932e+00                      -1.866578000e+00                    -6.561645806e+01                9.866061091e+14     9.793236617e+14        
