position     E_HHG_pm        E_HHG_l           E_HHG_s        Phi_LH_l        Phi_LH_s     n_source 
(mm)         (arb.units)     (arb.units)      (arb.units)    (rad)           (rad)         (1/s)    
0.000000000        0.006839183           0.006839183            0.006839183         1.056828892           190.180314522          4866216089086724862150515161839960064.000000000    
0.050000000        0.013899452           0.013145595            0.011714841         0.395023362           189.043591663          5041651691871696775087363531380621312.000000000    
0.100000000        0.020752632           0.017862123            0.012824083         -0.266742382           187.907707427          4911433500053459308501830166802071552.000000000    
0.150000000        0.027403949           0.020532187            0.009944095         -0.928462530           186.772665149          4783969394918271651102381368873582592.000000000    
0.200000000        0.034123286           0.020992931            0.003925176         -1.590131246           185.638468159          4850335167381741317719739669965438976.000000000    
0.250000000        0.041198804           0.019143061            0.003715342         -2.251742670           184.505119791          5125878257278754259780960744049213440.000000000    
0.300000000        0.048085515           0.015296331            0.009960971         -2.913290928           183.372623377          5007105654336262004164253333202141184.000000000    
0.350000000        0.054772127           0.009927781            0.012986269         -3.574770135           182.240982250          4879168494820520597052601869109559296.000000000    
0.400000000        0.061399123           0.003538191            0.011973651         -4.236174401           181.110199741          4853123022700344464625672000232226816.000000000    
0.450000000        0.068451329           0.003661579            0.007063458         -4.897497836           179.980279184          5183159409527304142411405296314351616.000000000    
0.500000000        0.075362182           0.010318544            0.000176938         -5.558734554           178.851223911          5097605739291294216990590201071927296.000000000    
0.550000000        0.082075218           0.015686130            0.006732034         -6.219878678           177.723037254          4969568988603184665938135724454838272.000000000    
0.600000000        0.088649871           0.019264604            0.011340589         -6.880924346           176.595722546          4884698293478456119277698317436321792.000000000    
0.650000000        0.095628932           0.020916251            0.012625062         -7.541865710           175.469283120          5203878881120290514579744445255647232.000000000    
0.700000000        0.102554652           0.020302234            0.010023615         -8.202696945           174.343722307          5182750874629961348215367388108947456.000000000    
0.750000000        0.109285078           0.017541339            0.004453871         -8.863412251           173.219043440          5054793185823306444448006892230279168.000000000    
0.800000000        0.115841594           0.012981886            0.002323766         -9.524005855           172.095249852          4941961888686659216863089862637518848.000000000    
0.850000000        0.122702450           0.006778811            0.008686330         -10.184472014           170.972344875          5190032614431395248164347837725802496.000000000    
0.900000000        0.129633590           0.000293873            0.012438280         -10.844805022           169.850331843          5262135242094834032131118976208994304.000000000    
0.950000000        0.136372511           0.007015947            0.012332632         -11.504999206           168.729214086          5134679518083703015089616753742839808.000000000    
1.000000000        0.142927856           0.012870775            0.008517674         -12.165048935           167.608994938          5012844855643834068608994541314244608.000000000    
1.050000000        0.149647177           0.017467396            0.002006980         -12.824948620           166.489677731          5156794091246319033786697637632671744.000000000    
1.100000000        0.156571510           0.020292565            0.005382590         -13.484692711           165.371265798          5333327076782692274674760771010822144.000000000    
1.150000000        0.163310207           0.020884717            0.010913177         -14.144275711           164.253762471          5209092900986611692025142628824645632.000000000    
1.200000000        0.169866322           0.019242847            0.013038167         -14.803692163           163.137171083          5086261301061804537515700620036669440.000000000    
1.250000000        0.176449495           0.015521008            0.011220769         -15.462936665           162.021494965          5125702389904669958822666016993050624.000000000    
1.300000000        0.183345628           0.009914345            0.005845863         -16.122003863           160.906737452          5388772572909268790871597952687669248.000000000    
1.350000000        0.190075590           0.003392454            0.001172559         -16.780888455           159.792901875          5277921553215914940604058334820040704.000000000    
1.400000000        0.196625740           0.003334928            0.007620632         -17.439585192           158.679991566          5155464924146049801454554275083452416.000000000    
1.450000000        0.203094569           0.009604664            0.011726112         -18.098088880           157.568009859          5109853904387697825318023737672466432.000000000    
1.500000000        0.209927783           0.015171170            0.012439901         -18.756394379           156.456960085          5417191224721739702003965097213427712.000000000    
1.550000000        0.216640730           0.019026311            0.009440348         -19.414496605           155.346845578          5341076735679325795017532341787557888.000000000    
1.600000000        0.223176894           0.020767833            0.003727750         -20.072390530           154.237669670          5219211941334874230871097106401067008.000000000    
1.650000000        0.229575482           0.020274396            0.002971740         -20.730071182           153.129435693          5127819648299618886909957095307608064.000000000    
1.700000000        0.236296065           0.017533240            0.009093713         -21.387533648           152.022146979          5405328282402901837783352225164165120.000000000    
1.750000000        0.242983968           0.012933701            0.012480516         -22.044773069           150.915806862          5398483227885301945278541317699272704.000000000    
1.800000000        0.249498274           0.007090946            0.012113189         -22.701784646           149.810418674          5277358441197012799336276294404931584.000000000    
1.850000000        0.255852891           0.000755487            0.008207774         -23.358563636           148.705985748          5166597602880181091418617160161820672.000000000    
1.900000000        0.262431351           0.006134379            0.001743145         -24.015105351           147.602511415          5367923971630923010508680846324531200.000000000    
1.950000000        0.269085966           0.012291683            0.005431210         -24.671405164           146.499999009          5449691956366367278601410778960494592.000000000    
2.000000000        0.275570807           0.017004748            0.010753298         -25.327458499           145.398451861          5329853435197423866258217301593554944.000000000    
2.050000000        0.281892213           0.019815199            0.012824360         -25.983260840           144.297873306          5214307252904219554024081807116337152.000000000    
2.100000000        0.288315256           0.020547904            0.011128864         -26.638807725           143.198266674          5317296240539710391104816290660876288.000000000    
2.150000000        0.294925336           0.019084993            0.006067888         -27.294094745           142.099635299          5491916775179246601297681654313123840.000000000    
2.200000000        0.301373393           0.015654746            0.000719026         -27.949117548           141.001982513          5376667742046878809473000085554987008.000000000    
2.250000000        0.307660277           0.010673759            0.007000377         -28.603871831           139.905311650          5261227715349630323259354008472518656.000000000    
2.300000000        0.313938642           0.004597665            0.011295133         -29.258353346           138.809626040          5273094475342125371873166789670076416.000000000    
2.350000000        0.320484477           0.002422187            0.012404972         -29.912557897           137.714929017          5517614750772247939524647085099974656.000000000    
2.400000000        0.326888731           0.008809819            0.009912280         -30.566481335           136.621223914          5417792721356249055040849761240350720.000000000    
2.450000000        0.333135078           0.014192140            0.004636355         -31.220119561           135.528514062          5303314320000731176089569377092894720.000000000    
2.500000000        0.339295707           0.018022654            0.001958453         -31.873468526           134.436802795          5249451026332865094657290654684545024.000000000    
2.550000000        0.345747077           0.020088754            0.008209612         -32.526524225           133.346093445          5517069443294264644356020833030766592.000000000    
