Wavelength,Intensity
nm,arb. units

700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,8.46683191675691e-78
751,4.28215973326917e-68
752,1.74762972095234e-59
753,7.48825998190245e-52
754,4.21142799797537e-45
755,3.81439046752188e-39
756,6.70831049686041e-34
757,2.71756696885472e-29
758,2.96315614456406e-25
759,1.0020229713339e-21
760,1.19522947512233e-18
761,5.65142919733639e-16
762,1.17722678554795e-13
763,1.1884228943994e-11
764,6.33592094277091e-10
765,1.92721631114049e-08
766,3.58453407357627e-07
767,4.33762624435917e-06
768,3.6093771841485e-05
769,0.000216959459374896
770,0.000984227036842698
771,0.0035027234182219
772,0.0101194749832512
773,0.0244576005293338
774,0.0507722160205128
775,0.0926404664325972
776,0.151581764115614
777,0.226316110058278
778,0.312986137112409
779,0.406142915736179
780,0.5
781,0.589492546195506
782,0.670900209150936
783,0.742021446246703
784,0.802022479642222
785,0.851118526714541
786,0.890216311034713
787,0.92059702974776
788,0.943674028692211
789,0.960829259322778
790,0.973316931939047
791,0.982217456461607
792,0.988425297353711
793,0.992657440437172
794,0.995472792977802
795,0.99729605608547
796,0.998442094200743
797,0.999138579665278
798,0.999545842224626
799,0.999773562824135
800,0.9998943590051
801,0.999954523647564
802,0.999982275602944
803,0.999993909703716
804,0.999998225544792
805,0.99999958731815
806,0.999999930763463
807,0.999999993068528
808,0.999999999729545
809,0.999999999998944
810,1
811,0.999999999998944
812,0.999999999729545
813,0.999999993068528
814,0.999999930763463
815,0.99999958731815
816,0.999998225544792
817,0.999993909703716
818,0.999982275602944
819,0.999954523647564
820,0.9998943590051
821,0.999773562824135
822,0.999545842224626
823,0.999138579665278
824,0.998442094200743
825,0.99729605608547
826,0.995472792977802
827,0.992657440437172
828,0.988425297353711
829,0.982217456461607
830,0.973316931939047
831,0.960829259322778
832,0.943674028692211
833,0.92059702974776
834,0.890216311034713
835,0.851118526714541
836,0.802022479642222
837,0.742021446246703
838,0.670900209150936
839,0.589492546195506
840,0.5
841,0.406142915736179
842,0.312986137112409
843,0.226316110058278
844,0.151581764115614
845,0.0926404664325972
846,0.0507722160205128
847,0.0244576005293338
848,0.0101194749832512
849,0.0035027234182219
850,0.000984227036842698
851,0.000216959459374896
852,3.6093771841485e-05
853,4.33762624435917e-06
854,3.58453407357627e-07
855,1.92721631114049e-08
856,6.33592094277091e-10
857,1.1884228943994e-11
858,1.17722678554795e-13
859,5.65142919733639e-16
860,1.19522947512233e-18
861,1.0020229713339e-21
862,2.96315614456406e-25
863,2.71756696885472e-29
864,6.70831049686041e-34
865,3.81439046752188e-39
866,4.21142799797537e-45
867,7.48825998190245e-52
868,1.74762972095234e-59
869,4.28215973326917e-68
870,8.46683191675691e-78
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
